accession_number,technology,assembly,country
KX457033.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457032.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457031.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457030.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457029.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457028.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457027.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457026.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457025.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457024.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457023.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457022.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457021.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457020.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457019.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457018.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457017.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457016.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457015.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457014.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457013.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457012.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457011.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457010.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457009.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457008.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457007.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457006.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457005.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457004.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457003.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457002.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457001.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX457000.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456999.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456998.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456997.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456996.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456995.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456994.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456993.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456992.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456991.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456990.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456989.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456988.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456987.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456986.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456985.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456984.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456983.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456982.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456981.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456980.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456979.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456978.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456977.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456976.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456975.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456974.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456973.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456972.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456971.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456970.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456969.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456968.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456967.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456966.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456965.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456964.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456963.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456962.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456961.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456960.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456959.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456958.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456957.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456956.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456955.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456954.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456953.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
ON127765.1,Illumina,metaSPAdes v. 3.13.0,China
ON127764.1,Illumina,metaSPAdes v. 3.13.0,China
ON127763.1,Illumina,metaSPAdes v. 3.13.0,China
ON127762.1,Illumina,metaSPAdes v. 3.13.0,China
ON127761.1,Illumina,metaSPAdes v. 3.13.0,China
ON127760.1,Illumina,metaSPAdes v. 3.13.0,China
ON127759.1,Illumina,metaSPAdes v. 3.13.0,China
ON127758.1,Illumina,metaSPAdes v. 3.13.0,China
ON127757.1,Illumina,metaSPAdes v. 3.13.0,China
ON127756.1,Illumina,metaSPAdes v. 3.13.0,China
ON127755.1,Illumina,metaSPAdes v. 3.13.0,China
ON127754.1,Illumina,metaSPAdes v. 3.13.0,China
ON127753.1,Illumina,metaSPAdes v. 3.13.0,China
ON127752.1,Illumina,metaSPAdes v. 3.13.0,China
ON127751.1,Illumina,metaSPAdes v. 3.13.0,China
ON127750.1,Illumina,metaSPAdes v. 3.13.0,China
ON127749.1,Illumina,metaSPAdes v. 3.13.0,China
ON127748.1,Illumina,metaSPAdes v. 3.13.0,China
ON127747.1,Illumina,metaSPAdes v. 3.13.0,China
ON127746.1,Illumina,metaSPAdes v. 3.13.0,China
KX456952.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456951.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456950.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456949.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456948.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456947.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456946.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456945.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456944.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456943.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456942.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456941.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456940.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456939.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456938.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456937.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456936.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456935.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456934.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456933.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456932.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456931.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456930.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456929.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456928.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456927.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456926.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456925.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456924.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456923.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456922.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456921.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456920.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456919.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456918.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456917.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456916.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456915.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456914.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456913.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456912.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456911.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456910.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456909.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456908.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456907.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456906.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456905.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456904.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456903.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456902.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456901.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456900.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456899.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456898.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456897.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456896.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456895.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456894.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456893.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456892.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456891.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456890.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456889.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456888.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456887.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456886.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456885.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456884.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456883.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456882.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456881.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456880.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456879.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456878.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456877.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456876.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456875.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456874.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456873.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456872.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456871.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456870.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456869.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456868.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456867.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456866.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456865.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456864.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456863.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456862.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456861.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456860.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456859.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456858.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456857.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456856.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456855.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456854.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456853.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456852.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456851.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456850.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456849.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456848.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456847.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456846.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456845.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456844.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456843.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456842.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456841.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456840.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456839.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456838.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456837.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456836.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456835.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456834.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456833.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456832.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456831.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456830.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456829.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456828.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456827.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456826.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456825.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456824.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456823.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456822.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456821.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456820.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456819.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456818.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456817.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456816.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456815.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456814.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456813.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456812.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456811.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456810.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456809.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456808.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456807.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456806.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456805.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456804.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456803.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456802.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456801.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456800.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456799.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456798.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456797.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456796.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456795.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456794.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456793.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456792.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456791.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456790.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456789.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456788.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456787.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456786.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456785.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456784.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456783.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456782.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456781.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456780.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456779.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456778.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456777.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456776.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456775.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456774.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456773.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456772.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456771.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456770.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456769.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456768.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456767.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456766.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456765.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456764.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456763.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456762.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456761.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456760.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456759.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456758.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456757.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456756.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456755.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456754.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456753.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
ON127745.1,Illumina,metaSPAdes v. 3.13.0,China
ON127744.1,Illumina,metaSPAdes v. 3.13.0,China
ON127743.1,Illumina,metaSPAdes v. 3.13.0,China
ON127742.1,Illumina,metaSPAdes v. 3.13.0,China
ON127741.1,Illumina,metaSPAdes v. 3.13.0,China
ON127740.1,Illumina,metaSPAdes v. 3.13.0,China
ON127739.1,Illumina,metaSPAdes v. 3.13.0,China
ON127738.1,Illumina,metaSPAdes v. 3.13.0,China
ON127737.1,Illumina,metaSPAdes v. 3.13.0,China
ON127736.1,Illumina,metaSPAdes v. 3.13.0,China
ON127735.1,Illumina,metaSPAdes v. 3.13.0,China
ON127734.1,Illumina,metaSPAdes v. 3.13.0,China
ON127733.1,Illumina,metaSPAdes v. 3.13.0,China
ON127732.1,Illumina,metaSPAdes v. 3.13.0,China
ON127731.1,Illumina,metaSPAdes v. 3.13.0,China
ON127730.1,Illumina,metaSPAdes v. 3.13.0,China
ON127729.1,Illumina,metaSPAdes v. 3.13.0,China
ON127728.1,Illumina,metaSPAdes v. 3.13.0,China
ON127727.1,Illumina,metaSPAdes v. 3.13.0,China
ON127726.1,Illumina,metaSPAdes v. 3.13.0,China
KX456752.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456751.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456750.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456749.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456748.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456747.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456746.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456745.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456744.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456743.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456742.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456741.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456740.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456739.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456738.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456737.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456736.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456735.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456734.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456733.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456732.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456731.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456730.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456729.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456728.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456727.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456726.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456725.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456724.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456723.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456722.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456721.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456720.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456719.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456718.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456717.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456716.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456715.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456714.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456713.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456712.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456711.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456710.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456709.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456708.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456707.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456706.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456705.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456704.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456703.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456702.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456701.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456700.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456699.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456698.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456697.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456696.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456695.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456694.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456693.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456692.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456691.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456690.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456689.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456688.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456687.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456686.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456685.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456684.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456683.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456682.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456681.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456680.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
KX456679.1,Illumina,Mapping Iterative Assembler/MIA v. 1,NA
